./data/resize/1.jpg,84,33,89,28,78,27,95,31,68,30,110,59,50,56,131,87,28,84,156,65,63,82,96,123,58,125,91,178,51,173,86,224,51,221
./data/resize/2.jpg,84,33,89,28,78,27,95,31,68,30,110,59,50,56,131,87,28,84,156,65,63,82,96,123,58,125,91,178,51,173,86,224,51,221
./data/resize/3.jpg,127,31,132,26,122,26,140,26,115,25,146,47,92,52,178,63,81,83,162,41,83,117,143,127,114,125,126,165,124,165,95,208,134,224
./data/resize/4.jpg,100,45,103,40,95,42,110,43,89,47,125,68,88,75,138,96,85,101,120,116,90,122,126,125,100,128,134,168,100,169,126,193,104,205
./data/resize/5.jpg,136,26,140,22,131,23,146,27,124,27,154,59,114,55,159,93,103,88,160,125,108,115,143,122,117,121,138,171,111,172,129,220,103,219
./data/resize/6.jpg,126,56,130,52,121,52,137,54,114,54,148,75,100,77,170,98,77,99,195,108,46,107,142,134,110,133,145,172,103,173,151,212,100,211
./data/resize/7.jpg,130,31,134,26,125,26,140,29,118,28,155,57,101,55,185,80,78,81,166,110,92,114,145,132,114,132,146,178,114,176,141,223,116,221
./data/resize/8.jpg,116,49,112,44,124,43,113,45,133,44,103,65,150,64,93,96,169,85,90,122,155,109,112,124,139,122,112,163,144,165,113,207,152,207
./data/resize/9.jpg,127,34,133,30,120,30,141,34,113,36,156,59,99,60,178,59,74,57,198,48,58,44,146,131,105,130,148,172,97,175,160,219,94,220
./data/resize/10.jpg,109,27,112,23,105,25,121,23,100,26,138,44,96,51,150,75,82,80,126,48,94,55,129,118,105,119,130,170,107,172,131,226,109,224
./data/resize/11.jpg,124,24,127,20,121,21,131,23,118,23,135,47,113,46,135,79,109,78,141,111,112,106,135,111,115,109,134,157,109,156,132,200,109,196
./data/resize/12.jpg,117,33,121,29,112,29,127,30,105,32,139,55,96,59,145,89,96,93,113,97,104,120,135,124,110,124,141,171,115,171,149,220,116,217
